WP, 13, 2022082900,   , BEST,   0, 208N, 1342E,  15, 1010, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,     INVEST,  ,
WP, 13, 2022082906,   , BEST,   0, 211N, 1346E,  15, 1008, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,     INVEST,  ,
WP, 13, 2022082912,   , BEST,   0, 214N, 1348E,  15, 1008, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,     INVEST,  ,
WP, 13, 2022082918,   , BEST,   0, 213N, 1343E,  20, 1006, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,     INVEST,  ,
WP, 13, 2022083000,   , BEST,   0, 200N, 1341E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1007,   85,  30,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,
WP, 13, 2022083006,   , BEST,   0, 196N, 1334E,  20, 1002, DB,   0,    ,    0,    0,    0,    0, 1004,   85,  30,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,
WP, 13, 2022083012,   , BEST,   0, 197N, 1330E,  20, 1003, DB,   0,    ,    0,    0,    0,    0, 1005,   85,  35,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,
WP, 13, 2022083018,   , BEST,   0, 199N, 1325E,  30,  999, TD,   0,    ,    0,    0,    0,    0, 1002,   95,  40,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpC82022 to wp132022,
WP, 13, 2022083100,   , BEST,   0, 204N, 1324E,  30,  998, TD,   0,    ,    0,    0,    0,    0, 1003,   75,  40,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN, S,
WP, 13, 2022083106,   , BEST,   0, 209N, 1323E,  30,  998, TD,   0,    ,    0,    0,    0,    0, 1000,   75,  40,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN, S,
WP, 13, 2022083112,   , BEST,   0, 221N, 1320E,  30,  995, TD,   0,    ,    0,    0,    0,    0, 1000,   75,  40,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN, S,
WP, 13, 2022083118,   , BEST,   0, 237N, 1303E,  25,  998, TD,   0,    ,    0,    0,    0,    0, 1000,   80,  35,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN, S,
WP, 13, 2022090100,   , BEST,   0, 245N, 1281E,  25, 1000, DB,   0,    ,    0,    0,    0,    0, 1002,  105,  50,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN, S,
WP, 13, 2022090106,   , BEST,   0, 245N, 1258E,  25, 1000, DB,   0,    ,    0,    0,    0,    0, 1002,  105,  50,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN,  ,
WP, 13, 2022090112,   , BEST,   0, 238N, 1236E,  20, 1000, DB,   0,    ,    0,    0,    0,    0, 1002,  105,  50,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN,  ,
WP, 13, 2022090118,   , BEST,   0, 236N, 1233E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1002,  105,  50,   0,   0,   W,   0,    ,   0,   0,   THIRTEEN,  ,
