SH, 15, 2021012812,   , BEST,   0, 158S, 1714E,  25,  998, TD,   0,    ,    0,    0,    0,    0, 1001,  150,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, TCFA1, TCFA 1 OF 2 PGTW 28A500ZJAN2021,
SH, 15, 2021012818,   , BEST,   0, 157S, 1720E,  25,  997, TD,   0,    ,    0,    0,    0,    0,  999,  140,  35,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,
SH, 15, 2021012900,   , BEST,   0, 157S, 1725E,  25,  996, TD,   0,    ,    0,    0,    0,    0,  999,  155,  60,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,
SH, 15, 2021012906,   , BEST,   0, 157S, 1733E,  30,  994, TD,   0,    ,    0,    0,    0,    0,  998,  180,  60,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,
SH, 15, 2021012912,   , BEST,   0, 155S, 1745E,  35,  993, TS,   0,    ,    0,    0,    0,    0,  999,  200,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, TCFA2, TCFA 2 OF 2 PGTW 291500ZJAN2022,
SH, 15, 2021012918,   , BEST,   0, 157S, 1757E,  40,  990, TS,  34, NEQ,  160,   80,   30,  210,  999,  200,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S,
SH, 15, 2021013000,   , BEST,   0, 162S, 1767E,  40,  995, TS,  34, NEQ,  160,   75,   25,   60, 1002,  270,  50,   0,   0,   P,   0,    ,   0,   0,    FIFTEEN, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, shC62021 to sh152021,
SH, 15, 2021013006,   , BEST,   0, 166S, 1772E,  45,  989, TS,  34, NEQ,  165,  130,   75,  210, 1001,  230,  40,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013012,   , BEST,   0, 170S, 1776E,  55,  983, TS,  34, NEQ,  175,  135,   80,  190, 1001,  230,  35,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013012,   , BEST,   0, 170S, 1776E,  55,  983, TS,  50, NEQ,   70,   75,   55,   55, 1001,  230,  35,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013018,   , BEST,   0, 174S, 1780E,  60,  978, TS,  34, NEQ,  185,  140,   85,  170,  999,  200,  25,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013018,   , BEST,   0, 174S, 1780E,  60,  978, TS,  50, NEQ,   80,   70,   55,   80,  999,  200,  25,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013100,   , BEST,   0, 181S, 1786E,  65,  976, TY,  34, NEQ,  165,   90,   90,  150,  999,  200,  15,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013100,   , BEST,   0, 181S, 1786E,  65,  976, TY,  50, NEQ,   90,   60,   60,  120,  999,  200,  15,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013100,   , BEST,   0, 181S, 1786E,  65,  976, TY,  64, NEQ,   20,   20,   20,    0,  999,  200,  15,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013106,   , BEST,   0, 189S, 1786E,  65,  976, TY,  34, NEQ,  160,  105,   90,  120,  999,  190,  15,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013106,   , BEST,   0, 189S, 1786E,  65,  976, TY,  50, NEQ,   85,   60,   55,   50,  999,  190,  15,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
SH, 15, 2021013106,   , BEST,   0, 189S, 1786E,  65,  976, TY,  64, NEQ,   30,   30,   30,   30,  999,  190,  15,   0,   0,   P,   0,    ,   0,   0,        ANA, D,
